0,1,2
"{'id': 'HGNC:7905', 'label': 'NPHP1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:8788', 'label': 'PDE6D'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:8859', 'label': 'PEX6'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:8851', 'label': 'PEX10'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:6871', 'label': 'MAPK1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HGNC:9508', 'label': 'PSEN1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000657', 'label': 'Oculomotor apraxia'}"
"{'id': 'HP:0006801', 'label': 'Hyperactive deep tendon reflexes'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HP:0007034', 'label': 'Generalized hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HP:0007054', 'label': 'Proximal hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HP:0007083', 'label': 'Hyperactive patellar reflex'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002395', 'label': 'Lower limb hyperreflexia'}"
"{'id': 'HP:0007083', 'label': 'Hyperactive patellar reflex'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0007054', 'label': 'Proximal hyperreflexia'}"
"{'id': 'HP:0007083', 'label': 'Hyperactive patellar reflex'}",{'label': 'biolink:subclass_of'},"{'id': 'UPHENO:0081742', 'label': 'increased reflex in patella'}"
"{'id': 'HP:0007350', 'label': 'Hyperreflexia in upper limbs'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0007054', 'label': 'Proximal hyperreflexia'}"
"{'id': 'HP:0007350', 'label': 'Hyperreflexia in upper limbs'}",{'label': 'biolink:subclass_of'},"{'id': 'UPHENO:0081739', 'label': 'increased reflex in pectoral complex'}"
"{'id': 'HP:0011448', 'label': 'Ankle clonus'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002169', 'label': 'Clonus'}"
"{'id': 'HP:0011448', 'label': 'Ankle clonus'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0034674', 'label': 'Abnormal ankle physiology'}"
"{'id': 'HP:0011449', 'label': 'Knee clonus'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002169', 'label': 'Clonus'}"
"{'id': 'HP:0011728', 'label': 'Elbow clonus'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002169', 'label': 'Clonus'}"
"{'id': 'HP:0033206', 'label': 'Hyperactive Achilles reflex'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002395', 'label': 'Lower limb hyperreflexia'}"
"{'id': 'HP:0033203', 'label': 'Brachioradialis hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0007350', 'label': 'Hyperreflexia in upper limbs'}"
"{'id': 'HP:0033205', 'label': 'Biceps hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0007350', 'label': 'Hyperreflexia in upper limbs'}"
"{'id': 'HP:0033683', 'label': 'Jaw hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HP:0033204', 'label': 'Triceps hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0007350', 'label': 'Hyperreflexia in upper limbs'}"
"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0031826', 'label': 'Abnormal reflex'}"
"{'id': 'HP:0001348', 'label': 'Brisk reflexes'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}",{'label': 'biolink:subclass_of'},"{'id': 'UPHENO:0055092', 'label': 'increased reflex'}"
"{'id': 'HGNC:20', 'label': 'AARS1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0007034', 'label': 'Generalized hyperreflexia'}"
"{'id': 'HGNC:20', 'label': 'AARS1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0011448', 'label': 'Ankle clonus'}"
"{'id': 'HGNC:48', 'label': 'ABCB7'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:34', 'label': 'ABCA4'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:119', 'label': 'ACOX1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:129', 'label': 'ACTA1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:225', 'label': 'ADAR'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:236', 'label': 'ADCY5'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:291', 'label': 'ADSL'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001348', 'label': 'Brisk reflexes'}"
"{'id': 'HGNC:348', 'label': 'AHR'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:61', 'label': 'ABCD1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:61', 'label': 'ABCD1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0007034', 'label': 'Generalized hyperreflexia'}"
"{'id': 'HGNC:61', 'label': 'ABCD1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0011448', 'label': 'Ankle clonus'}"
"{'id': 'HGNC:463', 'label': 'AMFR'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002395', 'label': 'Lower limb hyperreflexia'}"
"{'id': 'HGNC:469', 'label': 'AMPD2'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0001347', 'label': 'Hyperreflexia'}"
"{'id': 'HGNC:469', 'label': 'AMPD2'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002169', 'label': 'Clonus'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:subclass_of'},"{'id': 'CHEBI:145565', 'label': 'macrolide lactam'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:subclass_of'},"{'id': 'CHEBI:25698', 'label': 'ether'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:subclass_of'},"{'id': 'CHEBI:26979', 'label': 'organic heterotricyclic compound'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:subclass_of'},"{'id': 'CHEBI:35681', 'label': 'secondary alcohol'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:related_to'},"{'id': 'CHEBI:35610', 'label': 'antineoplastic agent'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:subclass_of'},"{'id': 'CHEBI:87113', 'label': 'antibiotic antifungal drug'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:related_to'},"{'id': 'CHEBI:176497', 'label': 'geroprotector'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:subclass_of'},"{'id': 'CHEBI:59770', 'label': 'cyclic acetal'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:subclass_of'},"{'id': 'CHEBI:3992', 'label': 'cyclic ketone'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0002492', 'label': 'acute kidney failure'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0005311', 'label': 'atherosclerosis'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0005260', 'label': 'autism'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0000837', 'label': 'bone resorption disease'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0007256', 'label': 'hepatocellular carcinoma'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0005096', 'label': 'squamous cell carcinoma'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0005359', 'label': 'drug-induced liver injury'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0001751', 'label': 'cholestasis'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0005355', 'label': 'coronary restenosis'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0100096', 'label': 'COVID-19'}"
"{'id': 'CHEBI:9168', 'label': 'sirolimus'}",{'label': 'biolink:treats_or_applied_or_studied_to_treat'},"{'id': 'MONDO:0002562', 'label': 'demyelinating disease'}"
"{'id': 'HP:0007123', 'label': 'Subcortical dementia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HP:0030219', 'label': 'Semantic dementia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0002145', 'label': 'Frontotemporal dementia'}"
"{'id': 'HP:0000726', 'label': 'Dementia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0001268', 'label': 'Mental deterioration'}"
"{'id': 'HP:0000727', 'label': 'Frontal lobe dementia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HP:0002145', 'label': 'Frontotemporal dementia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HP:0002439', 'label': 'Frontolimbic dementia'}",{'label': 'biolink:subclass_of'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:20', 'label': 'AARS1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:251', 'label': 'ADH1C'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:61', 'label': 'ABCD1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:483', 'label': 'ANG'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002145', 'label': 'Frontotemporal dementia'}"
"{'id': 'HGNC:535', 'label': 'ANXA11'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0002145', 'label': 'Frontotemporal dementia'}"
"{'id': 'HGNC:535', 'label': 'ANXA11'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:613', 'label': 'APOE'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:620', 'label': 'APP'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:620', 'label': 'APP'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0030219', 'label': 'Semantic dementia'}"
"{'id': 'HGNC:713', 'label': 'ARSA'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:735', 'label': 'ASAH1'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'HGNC:851', 'label': 'ATP6V1A'}",{'label': 'biolink:has_phenotype'},"{'id': 'HP:0000726', 'label': 'Dementia'}"
"{'id': 'MONDO:0010375', 'label': 'developmental and epileptic encephalopathy, 8'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0001419', 'label': 'X-linked recessive inheritance'}"
"{'id': 'MONDO:0009696', 'label': 'juvenile myoclonic epilepsy'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}"
"{'id': 'MONDO:0011811', 'label': 'autosomal recessive cerebellar ataxia-saccadic intrusion syndrome'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}"
"{'id': 'MONDO:0014688', 'label': 'short-rib thoracic dysplasia 14 with polydactyly'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}"
"{'id': 'MONDO:0011175', 'label': 'Friedreich ataxia 2'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}"
"{'id': 'MONDO:0011963', 'label': 'Joubert syndrome 2'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}"
"{'id': 'MONDO:0030318', 'label': 'spinocerebellar ataxia, autosomal recessive 30'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}"
"{'id': 'MONDO:0008943', 'label': 'autosomal recessive spinocerebellar ataxia 2'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}"
"{'id': 'MONDO:0958012', 'label': 'neurodegeneration with brain iron accumulation 9'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0018307', 'label': 'neurodegeneration with brain iron accumulation'}"
"{'id': 'MONDO:0002419', 'label': 'transient tic disorder'}",{'label': 'biolink:related_to'},"{'id': 'HP:0025153', 'label': 'Transient'}"
"{'id': 'MONDO:0003122', 'label': 'striatonigral degeneration'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0007803', 'label': 'multiple system atrophy'}"
"{'id': 'MONDO:0003233', 'label': 'essential tremor'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0005395', 'label': 'movement disorder'}"
"{'id': 'MONDO:0003233', 'label': 'essential tremor'}",{'label': 'biolink:related_to'},"{'id': 'HP:0030186', 'label': 'Kinetic tremor'}"
"{'id': 'MONDO:0003441', 'label': 'dystonic disorder'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0001815', 'label': 'extrapyramidal and movement disease'}"
"{'id': 'MONDO:0003441', 'label': 'dystonic disorder'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0005395', 'label': 'movement disorder'}"
"{'id': 'MONDO:0003233', 'label': 'essential tremor'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0100545', 'label': 'hereditary neurological disease'}"
"{'id': 'MONDO:0030318', 'label': 'spinocerebellar ataxia, autosomal recessive 30'}",{'label': 'biolink:subclass_of'},"{'id': 'MONDO:0015244', 'label': 'autosomal recessive cerebellar ataxia'}"
"{'id': 'MONDO:0007661', 'label': 'Tourette syndrome'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}"
"{'id': 'MONDO:0033480', 'label': 'spinocerebellar ataxia 45'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}"
"{'id': 'MONDO:0011694', 'label': 'spinocerebellar ataxia type 15/16'}",{'label': 'biolink:has_mode_of_inheritance'},"{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}"
"{'id': 'HGNC:9154', 'label': 'PNKP'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0014557', 'label': 'ataxia - oculomotor apraxia type 4'}"
"{'id': 'HGNC:30829', 'label': 'TUBB2B'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0009133', 'label': 'cerebellar ataxia, intellectual disability, and dysequilibrium'}"
"{'id': 'HGNC:12698', 'label': 'VLDLR'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0009133', 'label': 'cerebellar ataxia, intellectual disability, and dysequilibrium'}"
"{'id': 'HGNC:26600', 'label': 'WDR81'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0009133', 'label': 'cerebellar ataxia, intellectual disability, and dysequilibrium'}"
"{'id': 'HGNC:1382', 'label': 'CA8'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0009133', 'label': 'cerebellar ataxia, intellectual disability, and dysequilibrium'}"
"{'id': 'HGNC:2661', 'label': 'DAB1'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0014410', 'label': 'spinocerebellar ataxia type 37'}"
"{'id': 'HGNC:6893', 'label': 'MAPT'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0016564', 'label': 'progressive supranuclear palsy-progressive non-fluent aphasia syndrome'}"
"{'id': 'HGNC:6893', 'label': 'MAPT'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0016563', 'label': 'progressive supranuclear palsy-corticobasal syndrome'}"
"{'id': 'HGNC:23166', 'label': 'PNPT1'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0012103', 'label': 'spinocerebellar ataxia type 25'}"
"{'id': 'HGNC:3214', 'label': 'EEF2'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0012246', 'label': 'spinocerebellar ataxia type 26'}"
"{'id': 'HGNC:8820', 'label': 'PDYN'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0012449', 'label': 'spinocerebellar ataxia type 23'}"
"{'id': 'HGNC:315', 'label': 'AFG3L2'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0012450', 'label': 'spinocerebellar ataxia type 28'}"
"{'id': 'HGNC:25751', 'label': 'TRAPPC11'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0018243', 'label': 'intellectual disability-hyperkinetic movement-truncal ataxia syndrome'}"
"{'id': 'HGNC:11005', 'label': 'SLC2A1'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0010983', 'label': 'dystonia 9'}"
"{'id': 'HGNC:53924', 'label': 'NOTCH2NLC'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0011327', 'label': 'neuronal intranuclear inclusion disease'}"
"{'id': 'HGNC:16695', 'label': 'BCAP31'}",{'label': 'biolink:gene_associated_with_condition'},"{'id': 'MONDO:0010334', 'label': 'severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome'}"
